Management	Nitrogen	Var	Rep	Y
M1	N1	V1	r1	3.320
M2	N1	V1	r1	3.766
M3	N1	V1	r1	4.660
M1	N1	V1	r2	3.864
M2	N1	V1	r2	4.311
M3	N1	V1	r2	5.915
M1	N1	V1	r3	4.507
M2	N1	V1	r3	4.875
M3	N1	V1	r3	5.400
M1	N1	V2	r1	6.101
M2	N1	V2	r1	5.096
M3	N1	V2	r1	6.573
M1	N1	V2	r2	5.122
M2	N1	V2	r2	4.873
M3	N1	V2	r2	5.495
M1	N1	V2	r3	4.815
M2	N1	V2	r3	4.166
M3	N1	V2	r3	4.225
M1	N1	V3	r1	5.355
M2	N1	V3	r1	7.442
M3	N1	V3	r1	7.018
M1	N1	V3	r2	5.536
M2	N1	V3	r2	6.462
M3	N1	V3	r2	8.020
M1	N1	V3	r3	5.244
M2	N1	V3	r3	5.584
M3	N1	V3	r3	7.642
M1	N2	V1	r1	3.188
M2	N2	V1	r1	3.625
M3	N2	V1	r1	5.232
M1	N2	V1	r2	4.752
M2	N2	V1	r2	4.809
M3	N2	V1	r2	5.170
M1	N2	V1	r3	4.756
M2	N2	V1	r3	5.295
M3	N2	V1	r3	6.046
M1	N2	V2	r1	5.595
M2	N2	V2	r1	6.357
M3	N2	V2	r1	7.016
M1	N2	V2	r2	6.780
M2	N2	V2	r2	5.925
M3	N2	V2	r2	7.442
M1	N2	V2	r3	5.390
M2	N2	V2	r3	5.163
M3	N2	V2	r3	4.478
M1	N2	V3	r1	6.706
M2	N2	V3	r1	8.592
M3	N2	V3	r1	8.480
M1	N2	V3	r2	6.546
M2	N2	V3	r2	7.646
M3	N2	V3	r2	9.942
M1	N2	V3	r3	7.092
M2	N2	V3	r3	7.212
M3	N2	V3	r3	8.714
M1	N3	V1	r1	5.468
M2	N3	V1	r1	5.759
M3	N3	V1	r1	6.215
M1	N3	V1	r2	5.788
M2	N3	V1	r2	6.130
M3	N3	V1	r2	7.106
M1	N3	V1	r3	4.422
M2	N3	V1	r3	5.308
M3	N3	V1	r3	6.318
M1	N3	V2	r1	5.442
M2	N3	V2	r1	6.398
M3	N3	V2	r1	6.953
M1	N3	V2	r2	5.988
M2	N3	V2	r2	6.533
M3	N3	V2	r2	6.914
M1	N3	V2	r3	6.509
M2	N3	V2	r3	6.569
M3	N3	V2	r3	7.991
M1	N3	V3	r1	8.452
M2	N3	V3	r1	8.662
M3	N3	V3	r1	9.112
M1	N3	V3	r2	6.698
M2	N3	V3	r2	8.526
M3	N3	V3	r2	9.140
M1	N3	V3	r3	8.650
M2	N3	V3	r3	8.514
M3	N3	V3	r3	9.320
M1	N4	V1	r1	4.246
M2	N4	V1	r1	5.255
M3	N4	V1	r1	6.829
M1	N4	V1	r2	4.842
M2	N4	V1	r2	5.742
M3	N4	V1	r2	5.869
M1	N4	V1	r3	4.863
M2	N4	V1	r3	5.345
M3	N4	V1	r3	6.011
M1	N4	V2	r1	6.209
M2	N4	V2	r1	6.992
M3	N4	V2	r1	7.565
M1	N4	V2	r2	6.768
M2	N4	V2	r2	7.856
M3	N4	V2	r2	7.626
M1	N4	V2	r3	5.779
M2	N4	V2	r3	6.164
M3	N4	V2	r3	7.362
M1	N4	V3	r1	8.042
M2	N4	V3	r1	9.080
M3	N4	V3	r1	9.660
M1	N4	V3	r2	7.414
M2	N4	V3	r2	9.016
M3	N4	V3	r2	8.966
M1	N4	V3	r3	6.902
M2	N4	V3	r3	7.778
M3	N4	V3	r3	9.128
M1	N5	V1	r1	3.132
M2	N5	V1	r1	5.389
M3	N5	V1	r1	5.217
M1	N5	V1	r2	4.375
M2	N5	V1	r2	4.315
M3	N5	V1	r2	5.389
M1	N5	V1	r3	4.678
M2	N5	V1	r3	5.896
M3	N5	V1	r3	7.309
M1	N5	V2	r1	6.860
M2	N5	V2	r1	6.857
M3	N5	V2	r1	7.254
M1	N5	V2	r2	6.894
M2	N5	V2	r2	6.974
M3	N5	V2	r2	7.812
M1	N5	V2	r3	6.573
M2	N5	V2	r3	7.422
M3	N5	V2	r3	8.950
M1	N5	V3	r1	9.314
M2	N5	V3	r1	9.224
M3	N5	V3	r1	10.360
M1	N5	V3	r2	8.508
M2	N5	V3	r2	9.680
M3	N5	V3	r2	9.896
M1	N5	V3	r3	8.032
M2	N5	V3	r3	9.294
M3	N5	V3	r3	9.712
