Variety	Seeds	Nitrogen	Rep	yield
V1	P1	N1	r1	2373
V2	P1	N1	r1	4007
V3	P1	N1	r1	2620
V4	P1	N1	r1	2726
V5	P1	N1	r1	4447
V6	P1	N1	r1	2572
V1	P1	N1	r2	3958
V2	P1	N1	r2	5795
V3	P1	N1	r2	4508
V4	P1	N1	r2	5630
V5	P1	N1	r2	3276
V6	P1	N1	r2	3724
V1	P1	N1	r3	4384
V2	P1	N1	r3	5001
V3	P1	N1	r3	5621
V4	P1	N1	r3	3821
V5	P1	N1	r3	4582
V6	P1	N1	r3	3326
V1	P2	N1	r1	2293
V2	P2	N1	r1	4035
V3	P2	N1	r1	4527
V4	P2	N1	r1	5274
V5	P2	N1	r1	4655
V6	P2	N1	r1	4535
V1	P2	N1	r2	3528
V2	P2	N1	r2	4885
V3	P2	N1	r2	4866
V4	P2	N1	r2	6200
V5	P2	N1	r2	2796
V6	P2	N1	r2	5457
V1	P2	N1	r3	2538
V2	P2	N1	r3	4583
V3	P2	N1	r3	3628
V4	P2	N1	r3	4038
V5	P2	N1	r3	3739
V6	P2	N1	r3	3537
V1	P1	N2	r1	4076
V2	P1	N2	r1	5630
V3	P1	N2	r1	4676
V4	P1	N2	r1	4838
V5	P1	N2	r1	5549
V6	P1	N2	r1	3896
V1	P1	N2	r2	6431
V2	P1	N2	r2	7334
V3	P1	N2	r2	6672
V4	P1	N2	r2	7007
V5	P1	N2	r2	5340
V6	P1	N2	r2	2822
V1	P1	N2	r3	4889
V2	P1	N2	r3	7177
V3	P1	N2	r3	7019
V4	P1	N2	r3	4816
V5	P1	N2	r3	6011
V6	P1	N2	r3	4425
V1	P2	N2	r1	3085
V2	P2	N2	r1	3728
V3	P2	N2	r1	4946
V4	P2	N2	r1	4878
V5	P2	N2	r1	4646
V6	P2	N2	r1	4627
V1	P2	N2	r2	7502
V2	P2	N2	r2	7424
V3	P2	N2	r2	7611
V4	P2	N2	r2	6928
V5	P2	N2	r2	5006
V6	P2	N2	r2	4461
V1	P2	N2	r3	4362
V2	P2	N2	r3	5377
V3	P2	N2	r3	6142
V4	P2	N2	r3	4829
V5	P2	N2	r3	4666
V6	P2	N2	r3	4774
V1	P1	N3	r1	7254
V2	P1	N3	r1	7053
V3	P1	N3	r1	7666
V4	P1	N3	r1	6881
V5	P1	N3	r1	6880
V6	P1	N3	r1	1556
V1	P1	N3	r2	6808
V2	P1	N3	r2	8284
V3	P1	N3	r2	7328
V4	P1	N3	r2	7735
V5	P1	N3	r2	5080
V6	P1	N3	r2	2706
V1	P1	N3	r3	8582
V2	P1	N3	r3	6297
V3	P1	N3	r3	8611
V4	P1	N3	r3	6667
V5	P1	N3	r3	6076
V6	P1	N3	r3	3214
V1	P2	N3	r1	6661
V2	P2	N3	r1	6440
V3	P2	N3	r1	8632
V4	P2	N3	r1	6545
V5	P2	N3	r1	6995
V6	P2	N3	r1	5374
V1	P2	N3	r2	6353
V2	P2	N3	r2	7648
V3	P2	N3	r2	7101
V4	P2	N3	r2	9838
V5	P2	N3	r2	4486
V6	P2	N3	r2	7218
V1	P2	N3	r3	7759
V2	P2	N3	r3	5736
V3	P2	N3	r3	7416
V4	P2	N3	r3	7253
V5	P2	N3	r3	6564
V6	P2	N3	r3	6369
