year	va	rep	y
A	v1	r1	3.036
A	v2	r1	1.369
A	v3	r1	5.311
A	v4	r1	2.559
A	v5	r1	1.291
A	v6	r1	3.452
A	v7	r1	1.812
A	v1	r2	4.177
A	v2	r2	1.554
A	v3	r2	5.091
A	v4	r2	3.980
A	v5	r2	1.705
A	v6	r2	3.548
A	v7	r2	2.914
A	v1	r3	3.884
A	v2	r3	1.899
A	v3	r3	4.839
A	v4	r3	3.853
A	v5	r3	2.130
A	v6	r3	4.640
A	v7	r3	0.958
B	v1	r1	1.981
B	v2	r1	3.751
B	v3	r1	3.868
B	v4	r1	2.729
B	v5	r1	3.222
B	v6	r1	4.250
B	v7	r1	3.336
B	v1	r2	3.198
B	v2	r2	2.391
B	v3	r2	3.134
B	v4	r2	2.786
B	v5	r2	3.554
B	v6	r2	4.134
B	v7	r2	4.073
B	v1	r3	3.726
B	v2	r3	3.714
B	v3	r3	3.487
B	v4	r3	2.598
B	v5	r3	2.452
B	v6	r3	3.339
B	v7	r3	2.885
