Variety	Location	Rep	Yield
V1	L1	r1	5.013
V1	L1	r2	4.740
V1	L1	r3	4.680
V2	L1	r1	4.401
V2	L1	r2	4.519
V2	L1	r3	4.486
V3	L1	r1	4.684
V3	L1	r2	5.128
V3	L1	r3	4.932
V4	L1	r1	3.807
V4	L1	r2	3.714
V4	L1	r3	3.858
V5	L1	r1	5.447
V5	L1	r2	5.806
V5	L1	r3	5.535
V6	L1	r1	4.653
V6	L1	r2	4.978
V6	L1	r3	5.001
V7	L1	r1	5.155
V7	L1	r2	5.197
V7	L1	r3	5.425
V1	L2	r1	4.079
V1	L2	r2	4.139
V1	L2	r3	4.172
V2	L2	r1	3.615
V2	L2	r2	3.807
V2	L2	r3	3.637
V3	L2	r1	3.808
V3	L2	r2	4.127
V3	L2	r3	3.814
V4	L2	r1	2.735
V4	L2	r2	2.625
V4	L2	r3	2.691
V5	L2	r1	3.244
V5	L2	r2	3.207
V5	L2	r3	3.227
V6	L2	r1	4.270
V6	L2	r2	4.135
V6	L2	r3	4.123
V7	L2	r1	3.468
V7	L2	r2	3.660
V7	L2	r3	3.487
V1	L3	r1	8.187
V1	L3	r2	8.076
V1	L3	r3	7.893
V2	L3	r1	8.077
V2	L3	r2	7.984
V2	L3	r3	7.802
V3	L3	r1	7.251
V3	L3	r2	7.419
V3	L3	r3	7.212
V4	L3	r1	6.531
V4	L3	r2	6.667
V4	L3	r3	6.348
V5	L3	r1	7.705
V5	L3	r2	7.134
V5	L3	r3	7.292
V6	L3	r1	7.968
V6	L3	r2	8.019
V6	L3	r3	7.500
V7	L3	r1	8.267
V7	L3	r2	8.746
V7	L3	r3	8.289
V1	L4	r1	5.234
V1	L4	r2	4.977
V1	L4	r3	5.071
V2	L4	r1	4.849
V2	L4	r2	4.864
V2	L4	r3	5.117
V3	L4	r1	4.861
V3	L4	r2	4.800
V3	L4	r3	4.921
V4	L4	r1	3.905
V4	L4	r2	3.866
V4	L4	r3	3.555
V5	L4	r1	6.116
V5	L4	r2	5.636
V5	L4	r3	5.807
V6	L4	r1	5.595
V6	L4	r2	5.312
V6	L4	r3	5.559
V7	L4	r1	5.778
V7	L4	r2	5.598
V7	L4	r3	5.413
V1	L5	r1	2.137
V1	L5	r2	2.132
V1	L5	r3	2.054
V2	L5	r1	1.022
V2	L5	r2	1.095
V2	L5	r3	1.083
V3	L5	r1	1.410
V3	L5	r2	1.336
V3	L5	r3	1.383
V4	L5	r1	2.762
V4	L5	r2	2.557
V4	L5	r3	2.531
V5	L5	r1	0.738
V5	L5	r2	0.810
V5	L5	r3	0.762
V6	L5	r1	1.015
V6	L5	r2	1.076
V6	L5	r3	1.073
V7	L5	r1	1.018
V7	L5	r2	0.951
V7	L5	r3	1.042
V1	L6	r1	2.950
V1	L6	r2	2.820
V1	L6	r3	2.953
V2	L6	r1	3.233
V2	L6	r2	3.137
V2	L6	r3	3.347
V3	L6	r1	3.481
V3	L6	r2	3.615
V3	L6	r3	3.578
V4	L6	r1	2.613
V4	L6	r2	2.571
V4	L6	r3	2.586
V5	L6	r1	3.127
V5	L6	r2	3.191
V5	L6	r3	3.131
V6	L6	r1	4.005
V6	L6	r2	3.994
V6	L6	r3	3.881
V7	L6	r1	3.331
V7	L6	r2	3.275
V7	L6	r3	3.586
V1	L7	r1	8.227
V1	L7	r2	8.166
V1	L7	r3	8.026
V2	L7	r1	6.548
V2	L7	r2	6.545
V2	L7	r3	6.730
V3	L7	r1	8.472
V3	L7	r2	8.108
V3	L7	r3	8.125
V4	L7	r1	6.967
V4	L7	r2	7.025
V4	L7	r3	6.896
V5	L7	r1	7.523
V5	L7	r2	7.642
V5	L7	r3	8.019
V6	L7	r1	6.481
V6	L7	r2	6.984
V6	L7	r3	6.556
V7	L7	r1	7.574
V7	L7	r2	7.389
V7	L7	r3	7.485
V1	L8	r1	4.447
V1	L8	r2	4.541
V1	L8	r3	4.755
V2	L8	r1	3.871
V2	L8	r2	3.919
V2	L8	r3	3.975
V3	L8	r1	4.273
V3	L8	r2	4.021
V3	L8	r3	4.026
V4	L8	r1	4.144
V4	L8	r2	4.002
V4	L8	r3	4.081
V5	L8	r1	3.763
V5	L8	r2	3.718
V5	L8	r3	3.704
V6	L8	r1	4.500
V6	L8	r2	4.446
V6	L8	r3	4.467
V7	L8	r1	3.257
V7	L8	r2	3.332
V7	L8	r3	3.240
V1	L9	r1	5.041
V1	L9	r2	5.256
V1	L9	r3	5.168
V2	L9	r1	4.423
V2	L9	r2	4.346
V2	L9	r3	4.323
V3	L9	r1	5.076
V3	L9	r2	4.872
V3	L9	r3	4.696
V4	L9	r1	5.093
V4	L9	r2	5.302
V4	L9	r3	5.090
V5	L9	r1	3.998
V5	L9	r2	4.238
V5	L9	r3	3.969
V6	L9	r1	4.995
V6	L9	r2	5.025
V6	L9	r3	5.205
V7	L9	r1	4.055
V7	L9	r2	4.081
V7	L9	r3	4.285
