Site	Nitrogen	Var	Rep	Y
L1	N1	V1	r1	1979
L1	N2	V1	r1	4572
L1	N3	V1	r1	5630
L1	N4	V1	r1	7153
L1	N5	V1	r1	7223
L1	N6	V1	r1	7239
L1	N1	V1	r2	1511
L1	N2	V1	r2	4340
L1	N3	V1	r2	6780
L1	N4	V1	r2	6504
L1	N5	V1	r2	7107
L1	N6	V1	r2	6829
L1	N1	V1	r3	3664
L1	N2	V1	r3	4132
L1	N3	V1	r3	4933
L1	N4	V1	r3	6326
L1	N5	V1	r3	6051
L1	N6	V1	r3	5874
L1	N1	V2	r1	5301
L1	N2	V2	r1	5655
L1	N3	V2	r1	6339
L1	N4	V2	r1	8108
L1	N5	V2	r1	7530
L1	N6	V2	r1	7853
L1	N1	V2	r2	1883
L1	N2	V2	r2	5100
L1	N3	V2	r2	6622
L1	N4	V2	r2	8583
L1	N5	V2	r2	7097
L1	N6	V2	r2	7105
L1	N1	V2	r3	3571
L1	N2	V2	r3	5385
L1	N3	V2	r3	6332
L1	N4	V2	r3	7637
L1	N5	V2	r3	6667
L1	N6	V2	r3	7443
L2	N1	V1	r1	3617
L2	N2	V1	r1	6065
L2	N3	V1	r1	6092
L2	N4	V1	r1	5916
L2	N5	V1	r1	7191
L2	N6	V1	r1	5805
L2	N1	V1	r2	3580
L2	N2	V1	r2	5463
L2	N3	V1	r2	6571
L2	N4	V1	r2	6982
L2	N5	V1	r2	6109
L2	N6	V1	r2	6890
L2	N1	V1	r3	3939
L2	N2	V1	r3	5435
L2	N3	V1	r3	6084
L2	N4	V1	r3	7145
L2	N5	V1	r3	7967
L2	N6	V1	r3	7113
L2	N1	V2	r1	3447
L2	N2	V2	r1	5905
L2	N3	V2	r1	5322
L2	N4	V2	r1	6513
L2	N5	V2	r1	8153
L2	N6	V2	r1	7290
L2	N1	V2	r2	3560
L2	N2	V2	r2	5969
L2	N3	V2	r2	5883
L2	N4	V2	r2	6556
L2	N5	V2	r2	7208
L2	N6	V2	r2	6564
L2	N1	V2	r3	3516
L2	N2	V2	r3	6026
L2	N3	V2	r3	6489
L2	N4	V2	r3	7853
L2	N5	V2	r3	6685
L2	N6	V2	r3	7401
L3	N1	V1	r1	4320
L3	N2	V1	r1	5862
L3	N3	V1	r1	5136
L3	N4	V1	r1	6336
L3	N5	V1	r1	5571
L3	N6	V1	r1	6765
L3	N1	V1	r2	4068
L3	N2	V1	r2	4626
L3	N3	V1	r2	5836
L3	N4	V1	r2	5456
L3	N5	V1	r2	5854
L3	N6	V1	r2	5263
L3	N1	V1	r3	3856
L3	N2	V1	r3	4913
L3	N3	V1	r3	4898
L3	N4	V1	r3	5663
L3	N5	V1	r3	5533
L3	N6	V1	r3	3910
L3	N1	V2	r1	4891
L3	N2	V2	r1	6009
L3	N3	V2	r1	6712
L3	N4	V2	r1	6458
L3	N5	V2	r1	5683
L3	N6	V2	r1	6335
L3	N1	V2	r2	2577
L3	N2	V2	r2	6625
L3	N3	V2	r2	6693
L3	N4	V2	r2	6675
L3	N5	V2	r2	6868
L3	N6	V2	r2	6064
L3	N1	V2	r3	4541
L3	N2	V2	r3	5672
L3	N3	V2	r3	6799
L3	N4	V2	r3	6636
L3	N5	V2	r3	5692
L3	N6	V2	r3	5949
